Category: All categories

Week,Nike: (Worldwide),adidas: (Worldwide),puma: (Worldwide),asics: (Worldwide),under armour: (Worldwide)
2020-09-06,65,33,12,4,4
2020-09-13,65,31,11,3,4
2020-09-20,66,32,11,3,4
2020-09-27,65,33,11,3,4
2020-10-04,66,32,10,4,4
2020-10-11,67,30,11,4,4
2020-10-18,62,32,10,3,4
2020-10-25,62,30,10,3,4
2020-11-01,57,30,10,3,4
2020-11-08,71,34,11,4,5
2020-11-15,73,33,11,4,5
2020-11-22,95,45,13,5,7
2020-11-29,83,38,13,4,6
2020-12-06,78,36,12,4,5
2020-12-13,78,33,12,3,5
2020-12-20,75,35,11,4,4
2020-12-27,69,33,11,4,4
2021-01-03,68,27,11,4,4
2021-01-10,64,29,10,4,4
2021-01-17,63,29,11,4,4
2021-01-24,61,27,10,4,4
2021-01-31,67,28,11,4,4
2021-02-07,59,26,10,3,4
2021-02-14,62,28,10,3,3
2021-02-21,64,29,11,4,3
2021-02-28,70,32,11,4,4
2021-03-07,64,32,11,4,4
2021-03-14,66,31,10,4,4
2021-03-21,68,31,11,4,4
2021-03-28,75,32,11,4,4
2021-04-04,70,33,11,4,4
2021-04-11,66,31,11,4,4
2021-04-18,66,33,11,4,4
2021-04-25,68,32,11,4,4
2021-05-02,66,31,11,4,4
2021-05-09,67,31,11,4,4
2021-05-16,63,29,10,4,3
2021-05-23,66,30,11,4,3
2021-05-30,65,30,11,3,4
2021-06-06,63,31,11,4,4
2021-06-13,58,30,10,4,3
2021-06-20,61,29,11,3,3
2021-06-27,64,29,11,4,4
2021-07-04,65,29,11,4,4
2021-07-11,65,30,11,4,4
2021-07-18,66,30,11,4,4
2021-07-25,71,30,11,4,4
2021-08-01,71,33,11,4,4
2021-08-08,73,30,11,4,4
2021-08-15,71,33,12,4,4
2021-08-22,71,32,11,4,4
2021-08-29,71,33,11,4,4
2021-09-05,69,30,11,3,4
2021-09-12,65,31,10,4,3
2021-09-19,64,27,10,3,3
2021-09-26,61,28,11,3,3
2021-10-03,68,30,10,4,4
2021-10-10,65,29,10,3,3
2021-10-17,65,29,11,3,3
2021-10-24,64,27,10,3,4
2021-10-31,67,28,9,3,4
2021-11-07,72,30,11,3,4
2021-11-14,74,32,10,3,4
2021-11-21,100,40,13,4,6
2021-11-28,87,35,12,4,5
2021-12-05,83,32,11,3,5
2021-12-12,86,31,12,3,4
2021-12-19,82,31,11,3,4
2021-12-26,75,29,11,4,4
2022-01-02,73,29,11,4,4
2022-01-09,69,28,10,4,3
2022-01-16,63,25,10,3,3
2022-01-23,66,27,10,4,3
2022-01-30,70,28,11,4,3
2022-02-06,66,33,11,4,3
2022-02-13,66,30,12,4,3
2022-02-20,65,29,11,3,3
