Category: All categories

Region,Mahindra Scorpio: (9/10/20 - 9/10/25),Maruti Suzuki Brezza: (9/10/20 - 9/10/25),Hyundai Creta: (9/10/20 - 9/10/25)
Arunachal Pradesh,52%,13%,35%
Sikkim,53%,7%,40%
Andaman and Nicobar Islands,50%,9%,41%
Jharkhand,57%,10%,33%
Nagaland,46%,13%,41%
Bihar,62%,10%,28%
Jammu and Kashmir,50%,10%,40%
Punjab,48%,9%,43%
Chhattisgarh,52%,10%,38%
Dadra and Nagar Haveli,44%,12%,44%
Haryana,47%,10%,43%
Himachal Pradesh,50%,11%,39%
Daman and Diu,43%,14%,43%
Rajasthan,53%,10%,37%
Assam,41%,17%,42%
Odisha,42%,12%,46%
Uttar Pradesh,53%,11%,36%
Uttarakhand,51%,10%,39%
Chandigarh,48%,10%,42%
Gujarat,40%,14%,46%
Madhya Pradesh,52%,10%,38%
Delhi,48%,10%,42%
Manipur,44%,12%,44%
Tripura,43%,15%,42%
Meghalaya,45%,12%,43%
Maharashtra,42%,10%,48%
Mizoram,45%,6%,49%
Goa,36%,16%,48%
Karnataka,31%,11%,58%
West Bengal,44%,10%,46%
Telangana,32%,11%,57%
Tamil Nadu,29%,8%,63%
Andhra Pradesh,32%,15%,53%
Puducherry,26%,9%,65%
Kerala,27%,10%,63%
Lakshadweep,,,
