Category: All categories

Week,Mahindra Scorpio: (India),Maruti Suzuki Brezza: (India),Hyundai Creta: (India)
2020-09-06,14,5,25
2020-09-13,13,5,26
2020-09-20,13,4,26
2020-09-27,12,4,25
2020-10-04,11,5,25
2020-10-11,12,4,22
2020-10-18,13,5,24
2020-10-25,13,5,26
2020-11-01,11,4,27
2020-11-08,11,5,24
2020-11-15,15,5,27
2020-11-22,13,5,24
2020-11-29,13,4,25
2020-12-06,13,5,24
2020-12-13,13,4,26
2020-12-20,15,5,29
2020-12-27,16,5,25
2021-01-03,15,5,24
2021-01-10,14,5,24
2021-01-17,14,5,24
2021-01-24,14,5,24
2021-01-31,13,4,24
2021-02-07,13,4,24
2021-02-14,15,4,21
2021-02-21,12,4,22
2021-02-28,12,4,24
2021-03-07,11,4,24
2021-03-14,11,3,19
2021-03-21,11,4,19
2021-03-28,12,4,20
2021-04-04,10,3,19
2021-04-11,9,3,18
2021-04-18,9,3,16
2021-04-25,9,2,14
2021-05-02,9,2,14
2021-05-09,11,3,15
2021-05-16,11,3,15
2021-05-23,13,3,16
2021-05-30,12,3,19
2021-06-06,12,3,21
2021-06-13,12,4,22
2021-06-20,12,3,23
2021-06-27,12,4,25
2021-07-04,12,4,23
2021-07-11,12,3,22
2021-07-18,11,3,21
2021-07-25,11,3,21
2021-08-01,10,3,19
2021-08-08,11,3,19
2021-08-15,11,4,18
2021-08-22,10,4,19
2021-08-29,10,3,17
2021-09-05,9,4,17
2021-09-12,9,4,18
2021-09-19,8,3,15
2021-09-26,8,3,13
2021-10-03,8,3,13
2021-10-10,9,3,15
2021-10-17,9,3,15
2021-10-24,8,3,14
2021-10-31,8,3,15
2021-11-07,9,3,16
2021-11-14,9,4,15
2021-11-21,12,4,14
2021-11-28,11,3,14
2021-12-05,12,3,15
2021-12-12,12,3,16
2021-12-19,10,3,15
2021-12-26,11,3,15
2022-01-02,14,4,17
2022-01-09,13,4,16
2022-01-16,13,4,17
2022-01-23,16,4,18
2022-01-30,15,4,18
2022-02-06,15,4,18
2022-02-13,16,4,19
2022-02-20,15,4,19
2022-02-27,15,4,17
2022-03-06,13,4,15
2022-03-13,13,4,15
2022-03-20,13,3,17
2022-03-27,12,3,15
2022-04-03,12,3,16
2022-04-10,13,4,17
2022-04-17,13,4,16
2022-04-24,14,4,16
2022-05-01,16,4,18
2022-05-08,22,3,16
2022-05-15,42,4,16
2022-05-22,42,4,17
2022-05-29,27,4,16
2022-06-05,21,4,18
2022-06-12,25,4,20
2022-06-19,26,10,20
2022-06-26,100,16,16
2022-07-03,54,14,18
2022-07-10,36,9,17
2022-07-17,28,8,16
2022-07-24,33,7,16
2022-07-31,41,7,15
2022-08-07,26,7,17
2022-08-14,26,7,18
2022-08-21,23,7,16
2022-08-28,21,6,16
2022-09-04,18,6,14
2022-09-11,19,6,14
2022-09-18,16,5,14
2022-09-25,20,6,14
2022-10-02,21,6,18
2022-10-09,18,6,14
2022-10-16,17,5,14
2022-10-23,19,5,15
2022-10-30,18,4,14
2022-11-06,17,4,13
2022-11-13,17,5,13
2022-11-20,17,4,13
2022-11-27,18,4,14
2022-12-04,17,4,14
2022-12-11,20,5,14
2022-12-18,19,11,13
2022-12-25,21,4,15
2023-01-01,19,4,15
2023-01-08,18,5,15
2023-01-15,18,5,14
2023-01-22,17,6,15
2023-01-29,19,4,15
2023-02-05,18,4,14
2023-02-12,16,4,14
2023-02-19,17,4,14
2023-02-26,16,4,13
2023-03-05,17,4,14
2023-03-12,15,5,13
2023-03-19,16,5,13
2023-03-26,15,4,13
2023-04-02,14,4,12
2023-04-09,14,4,12
2023-04-16,13,3,11
2023-04-23,15,3,13
2023-04-30,14,4,12
2023-05-07,15,4,12
2023-05-14,15,3,13
2023-05-21,15,4,13
2023-05-28,17,4,13
2023-06-04,15,4,14
2023-06-11,17,4,14
2023-06-18,15,4,14
2023-06-25,18,4,15
2023-07-02,17,5,14
2023-07-09,15,4,15
2023-07-16,16,4,14
2023-07-23,15,4,15
2023-07-30,14,4,14
2023-08-06,16,4,15
2023-08-13,17,4,16
2023-08-20,15,4,15
2023-08-27,15,4,13
2023-09-03,15,3,14
2023-09-10,13,3,13
2023-09-17,14,4,15
2023-09-24,14,4,14
2023-10-01,12,4,12
2023-10-08,11,3,10
2023-10-15,14,4,12
2023-10-22,16,4,14
2023-10-29,14,3,11
2023-11-05,13,4,11
2023-11-12,16,4,13
2023-11-19,14,3,12
2023-11-26,14,4,13
2023-12-03,14,4,14
2023-12-10,16,4,15
2023-12-17,15,6,13
2023-12-24,15,4,16
2023-12-31,14,4,33
2024-01-07,14,3,28
2024-01-14,14,4,51
2024-01-21,14,5,28
2024-01-28,14,6,27
2024-02-04,14,4,19
2024-02-11,13,3,18
2024-02-18,14,3,16
2024-02-25,13,3,14
2024-03-03,12,3,15
2024-03-10,11,3,17
2024-03-17,11,3,14
2024-03-24,11,3,14
2024-03-31,10,3,12
2024-04-07,11,3,14
2024-04-14,11,3,14
2024-04-21,11,3,13
2024-04-28,11,3,12
2024-05-05,12,3,12
2024-05-12,11,3,11
2024-05-19,11,3,13
2024-05-26,11,3,13
2024-06-02,9,2,10
2024-06-09,10,2,11
2024-06-16,11,3,13
2024-06-23,9,3,11
2024-06-30,10,2,12
2024-07-07,11,3,12
2024-07-14,12,3,13
2024-07-21,11,3,12
2024-07-28,10,3,12
2024-08-04,11,3,12
2024-08-11,12,3,13
2024-08-18,13,3,14
2024-08-25,11,3,14
2024-09-01,10,3,14
2024-09-08,11,3,13
2024-09-15,10,3,14
2024-09-22,9,3,12
2024-09-29,9,3,13
2024-10-06,11,3,13
2024-10-13,13,3,14
2024-10-20,11,3,12
2024-10-27,13,3,15
2024-11-03,12,3,14
2024-11-10,12,3,12
