Category: All categories

Region,Apple iPhone: (9/10/20 - 9/10/25),Samsung Galaxy: (9/10/20 - 9/10/25),Google Pixel: (9/10/20 - 9/10/25)
Hawaii,48%,37%,15%
California,44%,39%,17%
District of Columbia,51%,33%,16%
New York,43%,43%,14%
New Jersey,43%,40%,17%
Connecticut,45%,40%,15%
Illinois,41%,42%,17%
Massachusetts,47%,36%,17%
Maryland,43%,41%,16%
Georgia,42%,43%,15%
Texas,41%,44%,15%
Florida,42%,44%,14%
Delaware,42%,42%,16%
New Hampshire,40%,41%,19%
Virginia,40%,42%,18%
Washington,37%,41%,22%
Kansas,31%,49%,20%
Arizona,38%,45%,17%
North Carolina,40%,43%,17%
Alaska,38%,47%,15%
Nevada,38%,46%,16%
Rhode Island,42%,40%,18%
Colorado,37%,42%,21%
South Carolina,39%,46%,15%
Utah,37%,40%,23%
Alabama,39%,47%,14%
Pennsylvania,40%,44%,16%
Vermont,41%,39%,20%
Oregon,37%,43%,20%
Minnesota,37%,42%,21%
Louisiana,40%,48%,12%
Kentucky,37%,48%,15%
Tennessee,37%,47%,16%
Michigan,39%,41%,20%
New Mexico,34%,49%,17%
Indiana,36%,48%,16%
Mississippi,39%,49%,12%
Arkansas,35%,50%,15%
Nebraska,36%,44%,20%
Oklahoma,35%,50%,15%
Ohio,36%,46%,18%
Maine,37%,44%,19%
West Virginia,33%,53%,14%
Idaho,33%,46%,21%
Missouri,34%,49%,17%
Wisconsin,35%,44%,21%
Iowa,34%,46%,20%
South Dakota,31%,50%,19%
Wyoming,31%,49%,20%
Montana,32%,48%,20%
North Dakota,32%,50%,18%
