Category: All categories

Week,Apple iPhone: (United States),Samsung Galaxy: (United States),Google Pixel: (United States)
2020-09-06,31,39,10
2020-09-13,41,37,10
2020-09-20,36,38,12
2020-09-27,32,40,15
2020-10-04,32,37,12
2020-10-11,74,46,14
2020-10-18,45,42,12
2020-10-25,37,40,11
2020-11-01,34,33,9
2020-11-08,41,43,11
2020-11-15,41,45,12
2020-11-22,45,55,17
2020-11-29,37,48,12
2020-12-06,35,43,11
2020-12-13,34,44,11
2020-12-20,41,50,11
2020-12-27,38,48,11
2021-01-03,31,37,9
2021-01-10,30,45,9
2021-01-17,27,46,8
2021-01-24,28,47,7
2021-01-31,27,43,7
2021-02-07,24,43,7
2021-02-14,23,40,7
2021-02-21,25,40,7
2021-02-28,26,40,8
2021-03-07,24,39,7
2021-03-14,25,41,8
2021-03-21,27,50,11
2021-03-28,25,40,7
2021-04-04,25,42,8
2021-04-11,24,41,8
2021-04-18,26,40,7
2021-04-25,27,40,7
2021-05-02,26,40,7
2021-05-09,26,39,7
2021-05-16,25,38,10
2021-05-23,26,39,8
2021-05-30,26,41,10
2021-06-06,28,38,8
2021-06-13,28,42,8
2021-06-20,28,44,9
2021-06-27,25,37,8
2021-07-04,27,38,8
2021-07-11,26,39,8
2021-07-18,26,39,8
2021-07-25,26,41,8
2021-08-01,26,38,9
2021-08-08,26,46,8
2021-08-15,27,46,11
2021-08-22,27,44,10
2021-08-29,28,39,8
2021-09-05,32,37,7
2021-09-12,66,39,9
2021-09-19,47,39,8
2021-09-26,38,40,9
2021-10-03,34,38,9
2021-10-10,35,38,9
2021-10-17,32,40,26
2021-10-24,30,36,21
2021-10-31,31,36,18
2021-11-07,31,41,16
2021-11-14,32,42,15
2021-11-21,41,55,17
2021-11-28,37,49,14
2021-12-05,33,41,13
2021-12-12,34,40,13
2021-12-19,38,43,14
2021-12-26,41,42,13
2022-01-02,36,36,11
2022-01-09,32,36,10
2022-01-16,29,33,9
2022-01-23,32,36,11
2022-01-30,27,36,12
2022-02-06,30,49,13
2022-02-13,29,44,15
2022-02-20,29,47,12
2022-02-27,28,43,12
2022-03-06,32,43,13
2022-03-13,28,41,13
2022-03-20,29,40,14
2022-03-27,27,36,11
2022-04-03,28,36,12
2022-04-10,26,34,11
2022-04-17,27,34,11
2022-04-24,26,33,11
2022-05-01,26,34,11
2022-05-08,28,35,14
2022-05-15,26,33,13
2022-05-22,28,35,12
2022-05-29,28,36,12
2022-06-05,32,36,14
2022-06-12,28,36,12
2022-06-19,29,35,12
2022-06-26,29,34,12
2022-07-03,30,37,12
2022-07-10,33,39,12
2022-07-17,30,37,14
2022-07-24,30,36,16
2022-07-31,32,35,15
2022-08-07,32,38,15
2022-08-14,34,39,15
2022-08-21,35,37,14
2022-08-28,33,35,13
2022-09-04,75,36,13
2022-09-11,49,34,14
2022-09-18,45,34,13
2022-09-25,38,32,12
2022-10-02,35,34,23
2022-10-09,34,33,25
2022-10-16,30,30,19
2022-10-23,32,30,17
2022-10-30,29,29,15
2022-11-06,29,28,15
2022-11-13,30,31,17
2022-11-20,40,42,24
2022-11-27,33,35,20
2022-12-04,30,31,15
2022-12-11,33,33,15
2022-12-18,32,33,14
2022-12-25,41,38,16
2023-01-01,33,32,13
2023-01-08,30,31,13
2023-01-15,28,30,13
2023-01-22,28,29,12
2023-01-29,27,34,12
2023-02-05,27,32,13
2023-02-12,27,31,14
2023-02-19,29,33,13
2023-02-26,27,31,13
2023-03-05,26,31,12
2023-03-12,26,28,12
2023-03-19,27,28,12
2023-03-26,26,27,12
2023-04-02,27,27,10
2023-04-09,27,27,11
2023-04-16,27,26,12
2023-04-23,24,26,12
2023-04-30,26,26,13
2023-05-07,26,27,20
2023-05-14,28,26,16
2023-05-21,27,26,15
2023-05-28,28,27,13
2023-06-04,31,28,13
2023-06-11,29,27,14
2023-06-18,28,28,16
2023-06-25,29,28,15
2023-07-02,31,29,15
2023-07-09,31,32,16
2023-07-16,30,28,15
2023-07-23,30,32,13
